hidden_units,dropout_rate,num_layers,lr,gamma,val_ndcg,val_ndcg_raw,best_epoch,epochs_run,max_epochs,seed
256,0.3,2,0.001,3,0.7843530911864081,0.7750127722096815,8,13,20,0
64,0.3,2,0.001,2,0.7843502266352583,0.7819797793598395,9,14,20,0
256,0.1,3,0.001,3,0.7839241349564587,0.7839241349564587,1,6,20,0
128,0.1,3,0.0001,3,0.7835814979680591,0.7896689700748079,13,18,40,0
64,0.3,2,0.001,4,0.7834015479363914,0.7884646134734133,6,11,20,0
256,0.3,2,0.0001,3,0.783195334618207,0.7937910153042569,7,12,40,0
64,0.1,3,0.001,4,0.7828458395623752,0.7931571924212355,6,11,20,0
256,0.3,2,0.001,2,0.7825695962978895,0.7849415404158705,3,8,20,0
256,0.1,2,0.001,4,0.7823512051372111,0.7864829025019933,9,14,20,0
128,0.1,3,0.001,4,0.7822378138312831,0.7822378138312831,1,6,20,0
64,0.5,1,0.0001,4,0.7815642605373535,0.7747766356112937,21,26,40,0
256,0.5,1,0.001,3,0.7810352976136031,0.7764751530052524,10,15,20,0
256,0.1,2,0.0001,3,0.7807589379156519,0.7967747446578128,7,12,40,0
128,0.1,3,0.001,2,0.7801633521569991,0.7802298378351038,4,9,20,0
64,0.1,1,0.0001,2,0.7799887786151319,0.790010028195975,22,27,40,0
128,0.3,3,0.0001,3,0.7797540043066776,0.7703662899020519,13,18,40,0
256,0.3,2,0.0001,4,0.7793992427621627,0.7893474338426165,8,13,40,0
256,0.5,1,0.001,2,0.7793508690174312,0.7765859366396785,12,17,20,0
256,0.5,2,0.001,4,0.7793359742679792,0.7936340231281153,8,13,20,0
64,0.3,1,0.001,2,0.7792301091927469,0.7920954565848818,7,12,20,0
128,0.3,2,0.0001,4,0.7783985331569273,0.7766541047964012,12,17,40,0
256,0.5,1,0.001,4,0.7783282730202071,0.7829489657727022,6,11,20,0
256,0.5,2,0.001,2,0.778293451617666,0.778293451617666,1,6,20,0
64,0.3,1,0.001,3,0.7779220773261629,0.7801690546331397,5,10,20,0
128,0.5,1,0.0001,3,0.7778180941178099,0.7843852618601873,13,18,40,0
256,0.5,2,0.0001,3,0.7772428419595588,0.7601610987774983,10,15,40,0
256,0.3,1,0.001,3,0.7772105689850126,0.7772105689850126,1,6,20,0
64,0.3,1,0.0001,2,0.7767172924508771,0.7862763944224183,15,20,40,0
64,0.3,2,0.0001,3,0.7765315792376728,0.7786801415324193,16,21,40,0
64,0.5,1,0.001,4,0.7759238183637794,0.7914398369059751,12,17,20,0
256,0.1,1,0.001,3,0.7758042986239886,0.7778725916307485,11,16,20,0
128,0.1,3,0.0001,4,0.7752779439277839,0.7736970748961095,13,18,40,0
128,0.3,1,0.001,4,0.7752043466078493,0.7901972112509672,2,7,20,0
64,0.3,3,0.001,3,0.7751714065711531,0.7751714065711531,1,6,20,0
64,0.5,1,0.001,3,0.7749497636137757,0.7656589680031844,7,12,20,0
256,0.5,2,0.0001,4,0.7746312171265147,0.7753712132880979,11,16,40,0
128,0.1,1,0.001,2,0.7742758767881425,0.7597004904208561,5,10,20,0
256,0.1,1,0.001,4,0.7741564611921746,0.7753803139017263,10,15,20,0
128,0.1,1,0.001,4,0.7740757576802334,0.7631029121072483,18,20,20,0
128,0.5,2,0.0001,3,0.772950414768309,0.78303180173544,12,17,40,0
64,0.3,3,0.0001,3,0.7729451659932011,0.7674718852871183,21,26,40,0
128,0.5,3,0.0001,3,0.7726063545396565,0.7737289880231659,22,27,40,0
128,0.5,1,0.001,3,0.7725885499870458,0.7775769157711864,6,11,20,0
128,0.5,1,0.001,2,0.7721670685894777,0.7880058170612947,3,8,20,0
256,0.1,1,0.001,2,0.7720472277385054,0.7686193872483126,5,10,20,0
64,0.1,1,0.001,4,0.771995197727429,0.7603675465112781,8,13,20,0
128,0.3,1,0.001,2,0.7719269921395268,0.7794404196599497,5,10,20,0
256,0.3,3,0.001,2,0.7718785544451449,0.7718785544451449,1,6,20,0
256,0.3,1,0.001,4,0.7711785668438087,0.7725815032598399,12,17,20,0
128,0.3,1,0.001,3,0.7711093336882667,0.7727841156396551,10,15,20,0
256,0.3,2,0.0001,2,0.7706375791288909,0.7934675458414762,11,16,40,0
256,0.3,1,0.001,2,0.7704096407046448,0.7566537068395959,5,10,20,0
256,0.1,2,0.001,2,0.7702990506470475,0.7781758854251996,9,14,20,0
64,0.5,1,0.001,2,0.7702534612008566,0.7589737783814177,5,10,20,0
256,0.3,3,0.001,4,0.7701614543586998,0.7701614543586998,1,6,20,0
64,0.1,2,0.0001,3,0.7698609587155033,0.7581026577979547,13,18,40,0
256,0.3,3,0.0001,4,0.7696734546356677,0.7604158211553362,5,10,40,0
256,0.3,1,0.0001,3,0.7682697873242113,0.7684349458902237,12,17,40,0
64,0.5,2,0.0001,4,0.76806002924671,0.7626967541357103,12,17,40,0
128,0.5,1,0.001,4,0.7669943786295796,0.7736659155231498,2,7,20,0
256,0.1,1,0.0001,4,0.7667845198040273,0.7813861364400377,14,19,40,0
64,0.1,1,0.0001,3,0.7659406350433585,0.7684312252692903,11,16,40,0
128,0.5,1,0.0001,4,0.7647154155170157,0.7663248158950963,2,7,40,0
128,0.1,2,0.0001,2,0.7646104214233674,0.7589113524850114,5,10,40,0
256,0.1,1,0.0001,3,0.7642827638938874,0.7778219022532985,16,21,40,0
64,0.3,3,0.0001,4,0.7642668811906982,0.7646612737328214,10,15,40,0
128,0.1,1,0.0001,3,0.7638236212050842,0.7729961065453115,12,17,40,0
256,0.1,1,0.0001,2,0.7635678326000804,0.7609097906121519,16,21,40,0
128,0.3,3,0.0001,2,0.7629975409800022,0.7865824115675746,11,16,40,0
128,0.1,1,0.001,3,0.762227690370068,0.7811272307173016,4,9,20,0
256,0.3,1,0.0001,4,0.7619335573248028,0.7552313398467807,8,13,40,0
256,0.5,1,0.0001,4,0.7618341995891978,0.7622325553037131,5,10,40,0
64,0.1,1,0.001,2,0.7614586220868871,0.7903382908124919,3,8,20,0
256,0.5,2,0.0001,2,0.7611474510060806,0.7710027926209189,11,16,40,0
64,0.5,2,0.0001,2,0.760736229507279,0.7786106682420019,25,30,40,0
256,0.3,1,0.0001,2,0.760580399685728,0.7591786159491503,13,18,40,0
128,0.1,3,0.0001,2,0.7603619267272208,0.7624989144688209,7,12,40,0
64,0.1,2,0.0001,4,0.7600382983315414,0.7801308594509492,8,13,40,0
64,0.3,2,0.0001,4,0.7597952507525512,0.7510306566023087,8,13,40,0
256,0.5,1,0.0001,2,0.7587117637736359,0.7496987939014408,10,15,40,0
128,0.5,3,0.0001,4,0.7574466000327021,0.7667123924996972,10,15,40,0
128,0.5,2,0.0001,4,0.7574244469633808,0.7615154316938176,7,12,40,0
128,0.3,1,0.0001,3,0.757400559195315,0.757400559195315,1,6,40,0
64,0.5,1,0.0001,2,0.7566615839096315,0.7349876263473679,15,20,40,0
128,0.3,1,0.0001,4,0.7566557230439473,0.7566557230439473,1,6,40,0
256,0.5,1,0.0001,3,0.7566488073183728,0.7545729461002771,7,12,40,0
128,0.3,3,0.0001,4,0.7558670174421712,0.741763703602244,12,17,40,0
64,0.3,1,0.0001,3,0.7524271900679356,0.7581292676210614,6,11,40,0
64,0.5,2,0.0001,3,0.7520690315359163,0.7508626162392468,12,17,40,0
128,0.1,1,0.0001,4,0.7518343900294344,0.7518343900294344,1,6,40,0
128,0.3,1,0.0001,2,0.7498871766266121,0.7516634870945736,5,10,40,0
64,0.5,1,0.0001,3,0.7495611583488629,0.7521591157018545,12,17,40,0
128,0.5,1,0.0001,2,0.7475961280054839,0.756424918084501,2,7,40,0
64,0.1,3,0.0001,3,0.7459254694680564,0.7459254694680564,1,6,40,0
128,0.3,2,0.0001,2,0.7454917969323992,0.7435399144367711,20,25,40,0
64,0.3,3,0.0001,2,0.7442492184284873,0.7671858309019148,5,10,40,0
128,0.1,2,0.0001,3,0.743931572994307,0.743931572994307,1,6,40,0
64,0.1,3,0.0001,4,0.743725631614631,0.743725631614631,1,6,40,0
64,0.5,3,0.0001,3,0.7412391307920402,0.738793630535541,4,9,40,0
128,0.1,1,0.0001,2,0.7399508654310881,0.7399508654310881,1,6,40,0
64,0.1,3,0.0001,2,0.7357561883846263,0.7366608278035492,3,8,40,0
128,0.5,2,0.0001,2,0.7351191987164577,0.7739170073007604,8,13,40,0
64,0.5,3,0.0001,4,0.7337979372888169,0.7294568230792129,4,9,40,0
64,0.3,2,0.0001,2,0.7325646971492435,0.7258601890322847,7,12,40,0
128,0.5,3,0.0001,2,0.7325615707081994,0.7610101507416578,4,9,40,0
64,0.1,2,0.0001,2,0.732258394322559,0.7466433421432551,6,11,40,0
64,0.5,3,0.0001,2,0.7243340135557254,0.70804675690959,7,12,40,0
