hidden_units,dropout_rate,num_blocks,num_heads,lr,val_ndcg,val_ndcg_raw,best_epoch,epochs_run,max_epochs
256,0.5,3,4,0.001,0.7753842508889012,0.7743083786045435,18,20,20
128,0.3,3,4,0.0001,0.7753184338937217,0.7751693057977608,27,32,40
128,0.3,2,16,0.0001,0.7751898567482333,0.7739631314398401,29,34,40
256,0.5,1,16,0.0001,0.7751248784793878,0.7748576809484533,25,30,40
64,0.3,1,16,0.001,0.7750800790946486,0.7774535991559807,19,20,20
128,0.1,1,8,0.0001,0.7749391772335281,0.7742472261863111,26,31,40
64,0.3,2,16,0.001,0.774845312471224,0.773353296482617,13,18,20
128,0.5,3,16,0.001,0.7748145467596329,0.7758379844883118,19,20,20
128,0.5,3,4,0.001,0.7748104159210337,0.7778264036073789,12,17,20
64,0.1,2,4,0.0001,0.7746119678678981,0.7755114203124617,37,40,40
128,0.1,1,4,0.0001,0.7745828109417842,0.7741986802269613,15,20,40
128,0.3,2,8,0.0001,0.7745718978450711,0.7750477415267389,36,40,40
128,0.3,2,4,0.0001,0.7745690625055612,0.7750653446962968,27,32,40
64,0.3,2,4,0.001,0.7745188450792688,0.7751863795285399,20,20,20
128,0.1,2,16,0.0001,0.7744927818986339,0.7754852613369508,22,27,40
256,0.5,2,16,0.0001,0.7743919367629251,0.7737033719551758,31,36,40
64,0.1,1,4,0.0001,0.7743591330919163,0.774726338380296,36,40,40
128,0.5,1,8,0.0001,0.7741670630290806,0.7741639876663959,27,32,40
64,0.1,3,16,0.0001,0.7740011814939233,0.7757408579898368,40,40,40
128,0.5,3,4,0.0001,0.7737669150559213,0.7745576657018478,39,40,40
64,0.5,3,16,0.001,0.7736843593607965,0.7717751320027815,20,20,20
64,0.1,2,16,0.0001,0.7735962322201736,0.774323092055061,34,39,40
128,0.5,3,8,0.0001,0.7735848071685071,0.7726031916285131,35,40,40
64,0.5,3,4,0.001,0.773522411419535,0.7767279920903365,20,20,20
64,0.5,1,4,0.001,0.7731508447229922,0.7732626650622707,8,13,20
64,0.5,3,8,0.001,0.7730913420040563,0.7726830204514449,20,20,20
64,0.3,2,4,0.0001,0.7728191554693579,0.7728030154925573,40,40,40
64,0.5,1,16,0.001,0.7727328819856615,0.7727538171303143,16,20,20
128,0.3,3,16,0.0001,0.7726273246672845,0.7732786051902578,16,21,40
128,0.5,2,8,0.0001,0.7725030419757655,0.7717731363142388,39,40,40
64,0.1,1,4,0.001,0.7724862435985931,0.7731152859124267,5,10,20
128,0.3,1,8,0.0001,0.7721671364224177,0.7719734797556806,19,24,40
128,0.3,1,16,0.0001,0.772134678655075,0.7730198344764546,18,23,40
64,0.5,1,16,0.0001,0.7720138367268006,0.7717799022936669,39,40,40
64,0.1,1,8,0.0001,0.771922402295793,0.7727557692681541,40,40,40
64,0.3,3,8,0.0001,0.7717682222898445,0.771578411910533,40,40,40
64,0.3,3,4,0.0001,0.7716633428998675,0.7718939663534734,40,40,40
64,0.1,1,16,0.0001,0.7716142495430812,0.7709655422736943,40,40,40
64,0.3,1,4,0.0001,0.7715814324336557,0.771707463088066,25,30,40
64,0.3,1,16,0.0001,0.7710960691026992,0.7712589835537308,34,39,40
128,0.5,2,4,0.0001,0.7710373123151218,0.7728730880331685,40,40,40
64,0.5,2,16,0.001,0.7709838464444942,0.7722449526100059,20,20,20
64,0.5,1,8,0.0001,0.7708282616186728,0.7706504256048784,40,40,40
64,0.3,1,8,0.0001,0.7701804311827004,0.7703249929522861,23,28,40
64,0.3,2,8,0.0001,0.7696199714968519,0.7702656457106182,40,40,40
64,0.5,2,4,0.001,0.7693225361196028,0.7691506370303804,8,13,20
64,0.1,2,8,0.0001,0.7691054996681764,0.769107471963087,14,19,40
128,0.5,2,16,0.0001,0.7688558257080079,0.7700934047221234,34,39,40
128,0.5,1,16,0.0001,0.7688180895134854,0.768375570613606,21,26,40
