session_id,split_index,context_len,query_len,session_len,query_skip_rate,ndcg_model,ndcg_random,lift
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,1,9,38,47,0.1842,0.9369,0.8158,0.1211
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,2,11,36,47,0.1944,0.5369,0.8056,-0.2687
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,3,14,33,47,0.1212,0.9369,0.8788,0.0581
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,4,16,31,47,0.0645,0.9322,0.9355,-0.0033
077dbae1-5028-4281-9377-6b4edaf14dc8_14977,5,19,28,47,0.0357,0.6859,0.9643,-0.2784
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,1,6,10,16,0.4,0.4272,0.6,-0.1728
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,2,7,9,16,0.4444,0.4487,0.5556,-0.1068
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,3,8,8,16,0.5,0.4706,0.5755,-0.1049
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,4,9,7,16,0.5714,0.3576,0.593,-0.2354
077dbae1-5028-4281-9377-6b4edaf14dc8_14988,5,11,5,16,0.6,0.7616,0.7231,0.0384
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,1,3,18,21,0.5,0.5802,0.5,0.0802
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,2,6,15,21,0.4667,0.6254,0.5333,0.0921
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,3,9,12,21,0.5,0.6309,0.5,0.1309
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,4,12,9,21,0.3333,0.8262,0.6667,0.1596
077dbae1-5028-4281-9377-6b4edaf14dc8_14989,5,16,5,21,0.2,0.9531,0.9208,0.0322
077dbae1-5028-4281-9377-6b4edaf14dc8_14993,1,5,12,17,0.75,0.5648,0.3459,0.2189
077dbae1-5028-4281-9377-6b4edaf14dc8_14993,2,6,11,17,0.7273,0.7289,0.3774,0.3515
077dbae1-5028-4281-9377-6b4edaf14dc8_14993,3,8,9,17,0.6667,0.8056,0.4612,0.3444
077dbae1-5028-4281-9377-6b4edaf14dc8_14993,4,10,7,17,0.5714,0.8269,0.593,0.2339
077dbae1-5028-4281-9377-6b4edaf14dc8_14993,5,12,5,17,0.4,0.906,0.8302,0.0758
077dbae1-5028-4281-9377-6b4edaf14dc8_14995,1,3,11,14,0.4545,0.3508,0.5455,-0.1947
077dbae1-5028-4281-9377-6b4edaf14dc8_14995,2,4,10,14,0.5,0.1988,0.5,-0.3012
077dbae1-5028-4281-9377-6b4edaf14dc8_14995,3,6,8,14,0.375,0.6351,0.625,0.0101
077dbae1-5028-4281-9377-6b4edaf14dc8_14995,4,7,7,14,0.4286,0.5174,0.6577,-0.1403
077dbae1-5028-4281-9377-6b4edaf14dc8_14995,5,9,5,14,0.2,0.9667,0.9208,0.0458
077dbae1-5028-4281-9377-6b4edaf14dc8_14999,1,10,33,43,0.5455,0.2584,0.4545,-0.1961
077dbae1-5028-4281-9377-6b4edaf14dc8_14999,2,17,26,43,0.4615,0.4785,0.5385,-0.06
077dbae1-5028-4281-9377-6b4edaf14dc8_14999,3,24,19,43,0.2632,0.9661,0.7368,0.2292
077dbae1-5028-4281-9377-6b4edaf14dc8_14999,4,31,12,43,0.25,0.9475,0.75,0.1975
077dbae1-5028-4281-9377-6b4edaf14dc8_14999,5,38,5,43,0.4,0.6898,0.8302,-0.1404
077dbae1-5028-4281-9377-6b4edaf14dc8_15000,1,4,23,27,0.2174,0.9572,0.7826,0.1746
077dbae1-5028-4281-9377-6b4edaf14dc8_15000,2,8,19,27,0.1053,1,0.8947,0.1053
077dbae1-5028-4281-9377-6b4edaf14dc8_15000,3,13,14,27,0.1429,1,0.8571,0.1429
077dbae1-5028-4281-9377-6b4edaf14dc8_15000,4,17,10,27,0.2,1,0.8,0.2
077dbae1-5028-4281-9377-6b4edaf14dc8_15000,5,22,5,27,0.4,0.9223,0.8302,0.0921
077dbae1-5028-4281-9377-6b4edaf14dc8_15002,1,9,21,30,0.5714,0.3554,0.4286,-0.0731
077dbae1-5028-4281-9377-6b4edaf14dc8_15002,2,12,18,30,0.5556,0.3661,0.4444,-0.0784
077dbae1-5028-4281-9377-6b4edaf14dc8_15002,3,15,15,30,0.4667,0.928,0.5333,0.3947
077dbae1-5028-4281-9377-6b4edaf14dc8_15002,4,18,12,30,0.3333,1,0.6667,0.3333
077dbae1-5028-4281-9377-6b4edaf14dc8_15002,5,21,9,30,0.1111,1,0.8889,0.1111
077dbae1-5028-4281-9377-6b4edaf14dc8_15016,1,4,66,70,0.1515,1,0.8485,0.1515
077dbae1-5028-4281-9377-6b4edaf14dc8_15016,2,13,57,70,0.1404,0.928,0.8596,0.0683
077dbae1-5028-4281-9377-6b4edaf14dc8_15016,3,23,47,70,0.0426,1,0.9574,0.0426
077dbae1-5028-4281-9377-6b4edaf14dc8_15016,4,32,38,70,0.0263,1,0.9737,0.0263
077dbae1-5028-4281-9377-6b4edaf14dc8_15016,5,42,28,70,0.0357,0.8339,0.9643,-0.1304
077dbae1-5028-4281-9377-6b4edaf14dc8_15033,1,3,20,23,0.95,0.6524,0.1474,0.5049
077dbae1-5028-4281-9377-6b4edaf14dc8_15033,2,6,17,23,0.9412,0.8,0.1734,0.6266
077dbae1-5028-4281-9377-6b4edaf14dc8_15033,3,10,13,23,0.9231,0.8,0.2268,0.5732
077dbae1-5028-4281-9377-6b4edaf14dc8_15033,4,14,9,23,0.8889,0.8774,0.3276,0.5498
077dbae1-5028-4281-9377-6b4edaf14dc8_15033,5,18,5,23,0.8,0.9,0.5897,0.3103
077dbae1-5028-4281-9377-6b4edaf14dc8_15048,1,4,181,185,0.9503,0.175,0.0497,0.1252
077dbae1-5028-4281-9377-6b4edaf14dc8_15048,2,42,143,185,0.958,0.0262,0.042,-0.0157
077dbae1-5028-4281-9377-6b4edaf14dc8_15048,3,81,104,185,0.9615,0.0336,0.0443,-0.0106
077dbae1-5028-4281-9377-6b4edaf14dc8_15048,4,119,66,185,0.9697,0.0613,0.0548,0.0065
