Using device: cuda
Loaded best params: {'hidden_units': 64.0, 'dropout_rate': 0.1, 'num_blocks': 1.0, 'num_heads': 4.0, 'lr': 0.001, 'val_ndcg': 0.7824361576, 'val_ndcg_raw': 0.7826886652, 'best_epoch': 18.0, 'epochs_run': 20.0, 'max_epochs': 20.0}
Loading datasets...
Train sessions: 75875 | Val sessions: 16262

=== Run 1/5 (seed 0) ===

Epoch 9 | Loss: 0.5997 | NDCG: 0.7753 | smoothed: 0.7737 | AUC: 0.6229
Epoch 10 | Loss: 0.5985 | NDCG: 0.7768 | smoothed: 0.7756 | AUC: 0.6259
Epoch 11 | Loss: 0.5982 | NDCG: 0.7788 | smoothed: 0.7769 | AUC: 0.6284
Epoch 12 | Loss: 0.5982 | NDCG: 0.7754 | smoothed: 0.7770 | AUC: 0.6203
Epoch 13 | Loss: 0.5976 | NDCG: 0.7721 | smoothed: 0.7754 | AUC: 0.6130
Epoch 14 | Loss: 0.5964 | NDCG: 0.7779 | smoothed: 0.7751 | AUC: 0.6247
Epoch 15 | Loss: 0.5962 | NDCG: 0.7782 | smoothed: 0.7761 | AUC: 0.6248
Epoch 16 | Loss: 0.5966 | NDCG: 0.7777 | smoothed: 0.7779 | AUC: 0.6228
Epoch 17 | Loss: 0.5953 | NDCG: 0.7774 | smoothed: 0.7778 | AUC: 0.6250
Epoch 18 | Loss: 0.5931 | NDCG: 0.7800 | smoothed: 0.7784 | AUC: 0.6290
Epoch 19 | Loss: 0.5943 | NDCG: 0.7824 | smoothed: 0.7799 | AUC: 0.6303
Epoch 20 | Loss: 0.5927 | NDCG: 0.7795 | smoothed: 0.7806 | AUC: 0.6283
Epoch 21 | Loss: 0.5923 | NDCG: 0.7788 | smoothed: 0.7802 | AUC: 0.6271
Epoch 22 | Loss: 0.5908 | NDCG: 0.7807 | smoothed: 0.7796 | AUC: 0.6267
Epoch 23 | Loss: 0.5918 | NDCG: 0.7804 | smoothed: 0.7800 | AUC: 0.6275
Epoch 24 | Loss: 0.5898 | NDCG: 0.7816 | smoothed: 0.7809 | AUC: 0.6308
Epoch 25 | Loss: 0.5922 | NDCG: 0.7805 | smoothed: 0.7808 | AUC: 0.6272
Epoch 26 | Loss: 0.5909 | NDCG: 0.7783 | smoothed: 0.7801 | AUC: 0.6240
Epoch 27 | Loss: 0.5917 | NDCG: 0.7813 | smoothed: 0.7800 | AUC: 0.6296
Epoch 28 | Loss: 0.5903 | NDCG: 0.7819 | smoothed: 0.7805 | AUC: 0.6296
Epoch 29 | Loss: 0.5901 | NDCG: 0.7843 | smoothed: 0.7825 | AUC: 0.6327
Epoch 30 | Loss: 0.5902 | NDCG: 0.7843 | smoothed: 0.7835 | AUC: 0.6328
Epoch 31 | Loss: 0.5910 | NDCG: 0.7837 | smoothed: 0.7841 | AUC: 0.6346
Epoch 32 | Loss: 0.5896 | NDCG: 0.7815 | smoothed: 0.7832 | AUC: 0.6308
Epoch 33 | Loss: 0.5901 | NDCG: 0.7821 | smoothed: 0.7824 | AUC: 0.6292
Epoch 34 | Loss: 0.5898 | NDCG: 0.7814 | smoothed: 0.7817 | AUC: 0.6268
Epoch 35 | Loss: 0.5891 | NDCG: 0.7832 | smoothed: 0.7822 | AUC: 0.6301
Epoch 36 | Loss: 0.5898 | NDCG: 0.7839 | smoothed: 0.7828 | AUC: 0.6305
Early stopping at epoch 36
Run 4: NDCG 0.7841 | AUC 0.6346 | best epoch 31 of 36

=== Run 5/5 (seed 4) ===

Epoch 1 | Loss: 0.6212 | NDCG: 0.7618 | smoothed: 0.7618 | AUC: 0.6007
Epoch 2 | Loss: 0.6082 | NDCG: 0.7666 | smoothed: 0.7642 | AUC: 0.6082
Epoch 3 | Loss: 0.6054 | NDCG: 0.7690 | smoothed: 0.7658 | AUC: 0.6153
Epoch 4 | Loss: 0.6036 | NDCG: 0.7721 | smoothed: 0.7693 | AUC: 0.6177
Epoch 5 | Loss: 0.6022 | NDCG: 0.7736 | smoothed: 0.7716 | AUC: 0.6212
Epoch 6 | Loss: 0.6017 | NDCG: 0.7712 | smoothed: 0.7723 | AUC: 0.6153
Epoch 7 | Loss: 0.5999 | NDCG: 0.7732 | smoothed: 0.7727 | AUC: 0.6197
Epoch 8 | Loss: 0.5997 | NDCG: 0.7763 | smoothed: 0.7736 | AUC: 0.6236
Epoch 9 | Loss: 0.5996 | NDCG: 0.7738 | smoothed: 0.7744 | AUC: 0.6193
Epoch 10 | Loss: 0.5987 | NDCG: 0.7761 | smoothed: 0.7754 | AUC: 0.6228
Epoch 11 | Loss: 0.5991 | NDCG: 0.7783 | smoothed: 0.7761 | AUC: 0.6255
Epoch 12 | Loss: 0.5960 | NDCG: 0.7818 | smoothed: 0.7787 | AUC: 0.6322
Epoch 13 | Loss: 0.5959 | NDCG: 0.7782 | smoothed: 0.7794 | AUC: 0.6237
Epoch 14 | Loss: 0.5953 | NDCG: 0.7798 | smoothed: 0.7799 | AUC: 0.6272
Epoch 15 | Loss: 0.5934 | NDCG: 0.7780 | smoothed: 0.7786 | AUC: 0.6257
Epoch 16 | Loss: 0.5933 | NDCG: 0.7758 | smoothed: 0.7778 | AUC: 0.6208
Epoch 17 | Loss: 0.5932 | NDCG: 0.7793 | smoothed: 0.7777 | AUC: 0.6254
Epoch 18 | Loss: 0.5930 | NDCG: 0.7800 | smoothed: 0.7784 | AUC: 0.6307
Epoch 19 | Loss: 0.5934 | NDCG: 0.7813 | smoothed: 0.7802 | AUC: 0.6297
Epoch 20 | Loss: 0.5934 | NDCG: 0.7784 | smoothed: 0.7799 | AUC: 0.6242
Epoch 21 | Loss: 0.5917 | NDCG: 0.7813 | smoothed: 0.7803 | AUC: 0.6291
