Using device: cuda
Loaded best params: {'hidden_units': 256.0, 'dropout_rate': 0.1, 'num_blocks': 1.0, 'num_heads': 16.0, 'lr': 0.001, 'val_ndcg': 0.7833886533, 'val_ndcg_raw': 0.7827366125, 'best_epoch': 20.0, 'epochs_run': 20.0, 'max_epochs': 20.0}
Loading datasets...
Train sessions: 75875 | Val sessions: 16262

=== Run 1/5 (seed 0) ===

Epoch 6 | Loss: 0.5692 | NDCG: 0.7733 | smoothed: 0.7721 | AUC: 0.6188
Epoch 7 | Loss: 0.5685 | NDCG: 0.7763 | smoothed: 0.7739 | AUC: 0.6250
Epoch 8 | Loss: 0.5679 | NDCG: 0.7784 | smoothed: 0.7760 | AUC: 0.6279
Epoch 9 | Loss: 0.5676 | NDCG: 0.7779 | smoothed: 0.7775 | AUC: 0.6251
Epoch 10 | Loss: 0.5668 | NDCG: 0.7782 | smoothed: 0.7782 | AUC: 0.6273
Epoch 11 | Loss: 0.5658 | NDCG: 0.7766 | smoothed: 0.7776 | AUC: 0.6249
Epoch 12 | Loss: 0.5647 | NDCG: 0.7792 | smoothed: 0.7780 | AUC: 0.6280
Epoch 13 | Loss: 0.5639 | NDCG: 0.7760 | smoothed: 0.7773 | AUC: 0.6198
Epoch 14 | Loss: 0.5630 | NDCG: 0.7770 | smoothed: 0.7774 | AUC: 0.6257
Epoch 15 | Loss: 0.5630 | NDCG: 0.7803 | smoothed: 0.7778 | AUC: 0.6269
Early stopping at epoch 15
Run 4: NDCG 0.7782 | AUC 0.6273 | best epoch 10 of 15

=== Run 5/5 (seed 4) ===

Epoch 1 | Loss: 0.5882 | NDCG: 0.7602 | smoothed: 0.7602 | AUC: 0.6032
Epoch 2 | Loss: 0.5769 | NDCG: 0.7662 | smoothed: 0.7632 | AUC: 0.6116
Epoch 3 | Loss: 0.5738 | NDCG: 0.7682 | smoothed: 0.7649 | AUC: 0.6135
Epoch 4 | Loss: 0.5723 | NDCG: 0.7711 | smoothed: 0.7685 | AUC: 0.6152
Epoch 5 | Loss: 0.5703 | NDCG: 0.7679 | smoothed: 0.7691 | AUC: 0.6072
Epoch 6 | Loss: 0.5700 | NDCG: 0.7751 | smoothed: 0.7714 | AUC: 0.6204
Epoch 7 | Loss: 0.5684 | NDCG: 0.7731 | smoothed: 0.7720 | AUC: 0.6193
Epoch 8 | Loss: 0.5674 | NDCG: 0.7747 | smoothed: 0.7743 | AUC: 0.6198
Epoch 9 | Loss: 0.5666 | NDCG: 0.7753 | smoothed: 0.7744 | AUC: 0.6199
Epoch 10 | Loss: 0.5652 | NDCG: 0.7783 | smoothed: 0.7761 | AUC: 0.6247
Epoch 11 | Loss: 0.5648 | NDCG: 0.7795 | smoothed: 0.7777 | AUC: 0.6267
Epoch 12 | Loss: 0.5653 | NDCG: 0.7805 | smoothed: 0.7794 | AUC: 0.6299
Epoch 13 | Loss: 0.5640 | NDCG: 0.7776 | smoothed: 0.7792 | AUC: 0.6234
Epoch 14 | Loss: 0.5632 | NDCG: 0.7809 | smoothed: 0.7797 | AUC: 0.6278
Epoch 15 | Loss: 0.5634 | NDCG: 0.7802 | smoothed: 0.7796 | AUC: 0.6289
Epoch 16 | Loss: 0.5614 | NDCG: 0.7810 | smoothed: 0.7807 | AUC: 0.6303
Epoch 17 | Loss: 0.5615 | NDCG: 0.7804 | smoothed: 0.7805 | AUC: 0.6275
Epoch 18 | Loss: 0.5610 | NDCG: 0.7789 | smoothed: 0.7801 | AUC: 0.6274
Epoch 19 | Loss: 0.5605 | NDCG: 0.7796 | smoothed: 0.7796 | AUC: 0.6286
Epoch 20 | Loss: 0.5612 | NDCG: 0.7811 | smoothed: 0.7799 | AUC: 0.6303
Epoch 21 | Loss: 0.5603 | NDCG: 0.7803 | smoothed: 0.7803 | AUC: 0.6297
Early stopping at epoch 21
Run 5: NDCG 0.7807 | AUC 0.6303 | best epoch 16 of 21

=== SASRec / BCE across 5 seeds ===
NDCG@5 : 0.7827 +/- 0.0035   [0.7874, 0.7862, 0.7808, 0.7782, 0.7807]
AUC    : 0.6319 +/- 0.0038   [0.6368, 0.6359, 0.6291, 0.6273, 0.6303]
epochs : [45, 44, 22, 15, 21]  (best at [40, 39, 17, 10, 16])
Model saved to ../Models/sasrec_bce_best.pt
